Date,zone,centre,Price
31-03-93,3,SHILLONG,NA
31-03-93,3,AIZAWL,70
31-03-93,3,BHUBANESHWAR,60
31-03-93,3,CUTTACK,62.5
31-03-93,3,KOLKATA,50
31-03-93,3,AGARTALA,NA
31-03-93,4,HYDERABAD,48
31-03-93,4,VIJAYAWADA,65
31-03-93,4,BANGALORE,70
31-03-93,4,THIRUVANANTHAPURAM,69
31-03-93,4,ERNAKULAM,71
31-03-93,4,CHENNAI,102
31-03-93,4,MADURAI,96
31-03-93,4,PONDICHERRY,NA
07-04-93,1,HISAR,64
07-04-93,1,KARNAL,56
07-04-93,1,SHIMLA,63
07-04-93,1,MANDI,66
07-04-93,1,SRINAGAR,NA
07-04-93,1,JAMMU,68
07-04-93,1,AMRITSAR,NA
07-04-93,1,LUDHIANA,NA
07-04-93,1,LUCKNOW,60
07-04-93,1,KANPUR,66
07-04-93,1,CHANDIGARH,70
07-04-93,1,DELHI,60
07-04-93,2,AHMEDABAD,80
07-04-93,2,RAJKOT,78
07-04-93,2,PANAJI,60
07-04-93,2,BHOPAL,50
07-04-93,2,INDORE,65
07-04-93,2,MUMBAI,74
07-04-93,2,NAGPUR,67
07-04-93,2,JAIPUR,70
07-04-93,2,JODHPUR,68
07-04-93,3,GUWAHATI,45
07-04-93,3,PATNA,NA
07-04-93,3,SHILLONG,NA
07-04-93,3,AIZAWL,70
07-04-93,3,BHUBANESHWAR,65
07-04-93,3,CUTTACK,62.5
07-04-93,3,KOLKATA,50
07-04-93,3,AGARTALA,NA
07-04-93,4,HYDERABAD,48
07-04-93,4,VIJAYAWADA,65
07-04-93,4,BANGALORE,68
07-04-93,4,THIRUVANANTHAPURAM,69
07-04-93,4,ERNAKULAM,71
07-04-93,4,CHENNAI,102
07-04-93,4,MADURAI,96
07-04-93,4,PONDICHERRY,NA
14-04-93,1,HISAR,64
14-04-93,1,KARNAL,56
14-04-93,1,SHIMLA,63
14-04-93,1,MANDI,66
14-04-93,1,SRINAGAR,NA
14-04-93,1,JAMMU,68
14-04-93,1,AMRITSAR,NA
14-04-93,1,LUDHIANA,NA
14-04-93,1,LUCKNOW,60
14-04-93,1,KANPUR,66
14-04-93,1,CHANDIGARH,70
14-04-93,1,DELHI,60
14-04-93,2,AHMEDABAD,80
14-04-93,2,RAJKOT,78
14-04-93,2,PANAJI,NA
14-04-93,2,BHOPAL,50
14-04-93,2,INDORE,65
14-04-93,2,MUMBAI,74
14-04-93,2,NAGPUR,67
14-04-93,2,JAIPUR,72
14-04-93,2,JODHPUR,70
14-04-93,3,GUWAHATI,NA
14-04-93,3,PATNA,NA
14-04-93,3,SHILLONG,NA
14-04-93,3,AIZAWL,70
14-04-93,3,BHUBANESHWAR,65
14-04-93,3,CUTTACK,70
14-04-93,3,KOLKATA,NA
14-04-93,3,AGARTALA,NA
14-04-93,4,HYDERABAD,48
14-04-93,4,VIJAYAWADA,65
14-04-93,4,BANGALORE,68
14-04-93,4,THIRUVANANTHAPURAM,69
14-04-93,4,ERNAKULAM,69.5
14-04-93,4,CHENNAI,102
14-04-93,4,MADURAI,96
14-04-93,4,PONDICHERRY,NA
